Phase;T;RH;R;FF;RMM1;RMM2;RMM;Angle;Angle (+);PhaseManual
3;28.9;74;0.2;4;0.143794;-0.36287001;0.390322122;158.3831308;158.3831308;4
4;27.7;80;0;3;0.29439399;-0.22744;0.37201717;127.6886022;127.6886022;3
4;27.2;84;0;3;0.315586;-0.23501;0.393477094;126.6742503;126.6742503;3
4;27.4;80;2;3;0.60933799;-0.27987;0.6705371;114.6694013;114.6694013;3
5;29;72;1;3;0.700086;0.113909;0.709292371;80.75855049;80.75855049;2
5;27.8;69;0;4;0.68784702;0.40417001;0.797801304;59.56205603;59.56205603;2
6;27.9;71;0;4;0.62743902;0.65728402;0.908681466;43.66921898;43.66921898;1
6;28.2;65;0;4;0.28572199;0.43882;0.523641144;33.06872792;33.06872792;1
5;29.4;64;0;4;0.13390701;6.55E-02;0.14906823;63.93464332;63.93464332;2
3;28.5;66;0;5;2.32E-02;-7.24E-02;0.076026311;162.2323595;162.2323595;4
6;27.9;73;0;4;7.46E-02;8.99E-02;0.116821103;39.68625739;39.68625739;1
7;28.2;70;0;4;-0.10537;0.159141;0.190863026;-33.50922953;326.4907705;8
8;27.6;74;0;4;-0.1714;0.13834;0.220263287;-51.0923812;308.9076188;7
1;28.2;71;0;3;-6.08E-02;-5.38E-02;0.081185467;-131.5046006;228.4953994;6
2;27.7;67;0;4;-0.21114001;-0.23117;0.313080936;-137.5928655;222.4071345;5
1;28.1;67;0;4;-0.33726999;-0.27142;0.432920157;-128.825576;231.174424;6
2;27;65;0.4;4;-0.14564;-0.50847;0.528916582;-164.0168094;195.9831906;5
2;27.7;68;0;4;-0.14241999;-0.58836001;0.605351927;-166.3925739;193.6074261;5
3;27.9;70;0;4;3.81E-02;-0.64447999;0.645605195;176.6167585;176.6167585;4
2;28;76;0;3;-6.39E-02;-0.52490997;0.528785104;-173.0592407;186.9407593;5
2;28.7;73;0;4;-7.63E-02;-0.60817999;0.612947461;-172.8492443;187.1507557;5
2;29;73;32.3;3;-0.29095;-0.56342;0.634108823;-152.6881767;207.3118233;5
2;28.6;77;5.5;3;-0.2931;-0.78591001;0.838786119;-159.5473284;200.4526716;5
2;28.7;76;0;4;-0.50127;-0.91996002;1.047663138;-151.4148123;208.5851877;5
1;27.5;82;26.8;3;-0.90483999;-0.64932001;1.113710861;-125.6635074;234.3364926;6
1;27.3;80;0;3;-0.98888999;-0.57251;1.142659666;-120.0683547;239.9316453;6
1;27.4;84;0;1;-0.96644998;-0.60187;1.138539881;-121.9131532;238.0868468;6
1;28.5;73;14.1;4;-0.99014002;-0.71103001;1.21899177;-125.6825269;234.3174731;6
1;28.2;74;;4;-1.02716;-0.64344001;1.212053098;-122.06411;237.93589;6
1;27;76;0.4;3;-0.85640001;-0.60455;1.048285114;-125.2190373;234.7809627;6
2;28.4;73;;3;-0.48411;-0.78779;0.924648893;-148.4285863;211.5714137;5
2;28.2;65;;4;-0.31955001;-0.61264002;0.690970334;-152.4536771;207.5463229;5
2;27.3;68;;3;-5.00E-02;-0.27226999;0.276822953;-169.5940748;190.4059252;5
4;26.7;67;;2;0.287238;-3.31E-02;0.289138857;96.57351022;96.57351022;3
4;26.1;68;;2;0.468234;-6.74E-02;0.473060079;98.19118288;98.19118288;3
4;25.2;68;;2;0.63169497;-3.07E-02;0.632440531;92.78235165;92.78235165;3
5;26.5;73;;3;0.76264399;6.54E-02;0.765443019;85.09863174;85.09863174;2
